time,open,high,low,close,vol,%,id,timestamp,"Vol (20)","Vol (20)","MACD","MACD","MACD","MACD"
1214919000,126.52,129.16,120.02,126.83,7159685632,-0.9,186,2008-07-01 13:30:00,7159685632,3828197519.2,-3.0420666598409065,3,0.05411075010394484,3.0961774099448514
1217597400,127.12,131.50999,124.75999,128.78999,4344520064,1.55,187,2008-08-01 13:30:00,4344520064,3984770671.2,-2.97004547242645,2,-0.6163794305882107,2.353666041838239
1220275800,130.03,130.71001,110.5321,115.99001,8107003920,-9.94,188,2008-09-01 13:30:00,8107003920,4323050901.6,-3.607532040546244,3,-2.155749008844566,1.451783031701678
1222867800,115.27,116.69,83.58,96.83,11889533952,-16.52,189,2008-10-01 13:30:00,11889533952,4842725598.4,-5.053966186249248,3,-4.8656747011098815,0.188291485139366
1225722600,96.78,100.86,74.34,90.09,8769751872,-6.96,190,2008-11-03 14:30:00,8769751872,5135122476,-6.127473499582919,3,-7.471050389339283,-1.3435768897563638
1228141800,87.50999,92.42999,81.86,90.24001,6931852880,0.17,191,2008-12-01 14:30:00,6931852880,5391947490.4,-6.457292378482816,3,-9.415192362859884,-2.957899984377068
1230820200,90.44,94.5533,80.05,82.83,6877054976,-8.21,192,2009-01-01 14:30:00,6877054976,5609871884,-6.771437442995316,3,-11.422196788121212,-4.650759345125897
1233585000,81.57001,87.74001,73.81,73.92999,7275971696,-10.74,193,2009-02-02 14:30:00,7275971696,5798456604,-7.1389453043549524,3,-13.574440975569587,-6.4354956712146345
1236004200,72.52,83.3,67.10001,79.52,8816279040,7.56,194,2009-03-02 14:30:00,8816279040,6039921742.4,-6.5796442381187745,2,-14.660050968863104,-8.080406730744329
1238592600,78.53,89.02,78.33,87.42,6209519408,9.93,195,2009-04-01 13:30:00,6209519408,6038331970.4,-5.30634227204548,2,-14.71333457080118,-9.4069922987557
1241184600,87.44,93.7,86.72,92.53,5197050848,5.85,196,2009-05-01 13:30:00,5197050848,6149872365.6,-3.818224022194258,2,-14.179772326498522,-10.361548304304264
1243863000,93.67,96.11,87.53,91.95,5054958784,-0.63,197,2009-06-01 13:30:00,5054958784,6210168956.8,-2.6278927072386526,2,-13.64641418835258,-11.018521481113927
1246455000,92.34,99.83,87,98.81,4295911760,7.46,198,2009-07-01 13:30:00,4295911760,6151359251.2,-1.2058146905919624,2,-12.52578984435388,-11.319975153761918
1249306200,99.85001,104.35001,98.11501,102.46001,3957917616,3.69,199,2009-08-03 13:30:00,3957917616,6184587250.4,0.08486422240291702,0,-11.213894875758271,-11.298759098161188
1251811800,101.95,108.06,99.57001,105.59,3777979120,3.05,200,2009-09-01 13:30:00,3777979120,6068080964.8,1.192145317219948,0,-9.808577451636253,-11.000722768856201
1254403800,105.34,110.31,101.99001,103.56,4482108064,-1.92,201,2009-10-01 13:30:00,4482108064,6084595096,1.7944150604770321,0,-8.757703943259912,-10.552119003736944
1257172200,104.13,111.74001,103.08,109.94,3431132192,6.16,202,2009-11-02 14:30:00,3431132192,5982690731.2,2.581198214937828,0,-7.325621235064659,-9.906819450002487
1259677800,110.92,113.03,105.476,111.44,2883949808,1.36,203,2009-12-01 14:30:00,2883949808,5926145106.4,3.1250730555832096,0,-6.000478130523476,-9.125551186106685
1262356200,112.37,115.14,107.22,107.39,3706906128,-3.63,204,2010-01-01 14:30:00,3706906128,5928982486.4,3.1268761453689375,0,-5.216956004395513,-8.34383214976445
